City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vila franca do campo,37.7167,-25.4333,72.19,86,18,8.84,PT,1667565513
1,kapaa,22.0752,-159.319,79.12,84,100,11.5,US,1667565513
2,punta arenas,-53.15,-70.9167,57.22,71,75,6.91,CL,1667565514
3,ilulissat,69.2167,-51.1,28.42,69,75,0.0,GL,1667565514
4,ushuaia,-54.8,-68.3,47.86,76,75,23.02,AR,1667565515
5,kharp,66.8014,65.8081,10.11,70,45,4.88,RU,1667565515
6,kachkanar,58.7,59.4948,23.34,95,100,6.82,RU,1667565516
7,talnakh,69.4865,88.3972,13.53,96,100,9.84,RU,1667565516
8,erzin,36.9559,36.2,71.13,50,1,5.08,TR,1667565517
9,touros,-5.1989,-35.4608,85.6,62,12,10.07,BR,1667565518
10,udachnyy,66.4167,112.4,10.04,92,95,14.74,RU,1667565518
11,tura,25.5198,90.2201,68.0,93,0,3.89,IN,1667565519
12,nome,64.5011,-165.4064,12.27,85,75,4.61,US,1667565519
13,east london,-33.0153,27.9116,73.54,73,33,10.49,ZA,1667565520
14,butaritari,3.0707,172.7902,79.68,72,17,12.17,KI,1667565520
15,lavrentiya,65.5833,-171.0,12.25,77,10,9.62,RU,1667565521
16,bambous virieux,-20.3428,57.7575,80.85,65,75,11.5,MU,1667565521
17,jamestown,42.097,-79.2353,60.39,83,0,6.91,US,1667565329
18,emerald,-23.5333,148.1667,63.34,58,0,15.68,AU,1667565522
19,margate,51.3813,1.3862,54.7,70,2,8.01,GB,1667565477
20,halifax,44.6453,-63.5724,55.22,88,75,13.8,CA,1667565352
21,albany,42.6001,-73.9662,54.73,84,0,2.91,US,1667565523
22,puerto ayora,-0.7393,-90.3518,67.03,78,100,11.12,EC,1667565523
23,siguiri,11.6667,-9.5,93.38,16,84,4.76,GN,1667565523
24,palana,59.1167,159.9667,33.31,83,100,8.84,RU,1667565524
25,weiser,44.251,-116.9693,36.32,91,100,1.01,US,1667565229
26,coihaique,-45.5752,-72.0662,57.15,67,0,6.91,CL,1667565525
27,pevek,69.7008,170.3133,-14.49,97,17,5.68,RU,1667565525
